,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere
22,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 33ad40491f684982b7980eb3b30f47b0,17,6,1,0.12944049999998697,99,3,2,2,1.0,0.114
23,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - c2cc0e4984734a51bc2d0cc0da3bb6bb,24,11,1,0.2024925000000053,237,5,2,2,1.0,0.184
24,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 120cfa4fdb2d47f9b42b205c8d71c4be,25,15,1,0.20889069999998355,243,3,2,2,1.0,0.427
25,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - ac7881d64c1748eaba3f17fc2d16b06d,19,3,1,0.0382567999999992,39,2,1,1,1.0,0.089
26,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - bb7215a9400249e8b8523d53289d2172,19,15,1,0.14810629999999492,144,2,1,1,0.998,0.164
27,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - bb964c25bda643b59a2f52c34da071c7,19,12,1,0.25415750000001935,321,4,3,3,0.988,0.238
28,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 648a8b15349641f082391a62307c1a82,25,19,1,0.2762337000000059,369,4,2,2,0.996,0.331
29,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 260dc0be80454d549f5e7c9a008944dd,17,17,1,0.3073296999999968,372,4,2,2,0.995,0.253
30,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 1984b8eb44274d4e896307fe4f8cb1e9,47,32,1,0.3661355000000128,324,4,2,2,0.971,0.181
31,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 24aed2cf568f496c8bf0ae941b0fbd8d,55,32,1,0.6210414999999898,627,6,2,3,0.995,0.237
32,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 10c736652a7e4488ade1a26934da8053,46,22,1,0.2157294999999806,261,3,2,2,0.999,0.278
33,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 97b81dad076a48148047cafaae625c8f,53,26,1,0.22018489999999247,174,2,1,1,1.0,0.152
34,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 9a50034497e1486187fbbad2285a3eb2,54,32,1,0.34515959999998813,249,4,2,2,1.0,0.124
35,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 77e10475542b4d179560ac13d4374a5e,48,28,1,0.41596280000001684,411,5,2,3,0.99,0.267
36,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 79563f1ca6ae40ab8f7dea30f7718cce,53,26,1,0.35383289999998624,354,4,2,2,0.994,0.177
37,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - e52ca96dd2bd44d6b6f88828bf8b5ef1,52,34,1,0.46786430000000223,411,5,4,4,0.991,0.194
38,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - a1244b5a2e7c48ec91a9f89d800afa41,55,23,1,0.27316349999998124,300,4,2,2,0.993,0.183
39,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - df4321421cbe480bad3690b6f6d70032,45,11,1,0.09336660000002439,114,2,1,1,0.991,0.162
40,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - d23cbca6133c4665b35ed37f394ec9db,6,7,1,0.10803100000003951,138,2,1,1,1.0,0.562
41,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 08f784909e8c4ebeb9848c2024b14833,3,3,1,0.08517899999998235,39,2,1,1,1.0,0.089
42,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 4c7bdf7078d344f9b63fb3c852645f6a,6,4,1,0.1588236999999708,135,3,2,2,1.0,0.239
43,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 71970d27051149f5bb0e95eba83d3cb3,7,8,1,0.08083410000000413,96,2,1,1,1.0,0.242
44,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 92fb080238dc43939d2df1b444edec5b,1,2,1,0.022157400000025973,24,1,0,0,1.0,0.089
45,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 2ec45e2c6be44114a1918fbb20614210,6,5,1,0.04988400000002002,63,2,1,1,1.0,0.153
46,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6ba0aa6114194f42a2cf44254c8231a0,1,2,1,0.05285950000001094,90,1,0,0,1.0,1.0
